trip_id,VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,rate_code_name,PU_Borough,PU_zone,DO_Borough,DO_zone,payment_type_name,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount
41601,1,2023-02-01T14:08:04,2023-02-01T14:09:58,1,0.1,Standard rate,Manhattan,Sutton Place/Turtle Bay North,Manhattan,Sutton Place/Turtle Bay North,Credit card,0,0,0,0,0,0,0
83344,1,2023-02-01T20:11:00,2023-02-01T20:12:13,1,0,JFK,Queens,JFK Airport,Queens,JFK Airport,Dispute,0,0,0,0,0,0,0
109253,1,2023-02-02T06:45:31,2023-02-02T06:45:53,1,0,Standard rate,Manhattan,Lower East Side,Manhattan,Lower East Side,Dispute,0,0,0,0,0,0,0
60423,2,2023-02-01T16:53:34,2023-02-01T16:54:13,1,0,Standard rate,Queens,Queensbridge/Ravenswood,Queens,Astoria,Credit card,0,0,0,0,0,0,0
57885,1,2023-02-01T16:06:43,2023-02-01T16:19:43,1,1.9,,Brooklyn,Downtown Brooklyn/MetroTech,Manhattan,TriBeCa/Civic Center,Credit card,0,0,0,0,0,0,0
9036,1,2023-02-01T08:20:36,2023-02-01T08:20:36,6,0,,Queens,Long Island City/Hunters Point,Unknown,NV,Cash,0,0,0,0,0,0,0
53920,2,2023-02-01T15:29:07,2023-02-01T15:29:35,1,0,Standard rate,Queens,Queensbridge/Ravenswood,Queens,Queensbridge/Ravenswood,Credit card,0,0,0,0,0,0,0
75603,2,2023-02-01T18:42:55,2023-02-01T18:43:10,1,0,Standard rate,Unknown,NV,Unknown,NV,Credit card,0,0,0,0,0,0,0
35682,1,2023-02-01T12:15:32,2023-02-01T12:18:16,1,0,Standard rate,Queens,Long Island City/Hunters Point,Queens,Long Island City/Hunters Point,Dispute,0,0,0,0,0,0,0
101077,1,2023-02-01T22:30:53,2023-02-01T22:30:53,3,1.3,Standard rate,Manhattan,Midtown North,Manhattan,Midtown North,Dispute,0,0,0,0,0,0,0
106759,1,2023-02-02T01:09:42,2023-02-02T01:28:31,1,2.8,,Bronx,West Concourse,Manhattan,Randalls Island,Credit card,0,0,0,0,0,0,0
19355,1,2023-02-01T10:36:23,2023-02-01T10:36:52,1,0,Standard rate,Queens,Long Island City/Hunters Point,Queens,Long Island City/Hunters Point,Credit card,0,0,0,0,0,0,0
5575,1,2023-02-01T07:00:56,2023-02-01T07:01:21,1,0,Standard rate,Manhattan,Gramercy,Manhattan,Gramercy,Dispute,0,0,0,0,0,0,0
60446,1,2023-02-01T17:53:17,2023-02-01T17:56:35,1,0.4,Standard rate,Manhattan,Lenox Hill West,Manhattan,Lenox Hill East,Dispute,0,0,0,0,0,0,0
67164,1,2023-02-01T17:40:13,2023-02-01T17:44:01,1,0,Standard rate,Manhattan,Times Sq/Theatre District,Manhattan,Times Sq/Theatre District,Credit card,0,0,0,0,0,0,0
